_id,x,y,z,timestamp
67d685a78f4f34655f851dec,0,-0.43,0.18,1742112167.5958705
67d685a78f4f34655f851ded,0,-0.37,0.12,1742112167.923077
67d685a88f4f34655f851dee,-0.06,-0.43,0.12,1742112168.4139664
67d685a88f4f34655f851def,-0.06,-0.49,0.12,1742112168.929002
67d685a98f4f34655f851df0,0,-0.43,0.18,1742112169.4389172
67d685a98f4f34655f851df1,-0.06,-0.43,0.12,1742112169.8611915
67d685aa8f4f34655f851df2,0,-0.37,0.12,1742112170.4627683
67d685aa8f4f34655f851df3,0,-0.37,0.12,1742112170.877129
67d685ab8f4f34655f851df4,-0.06,-0.43,0.18,1742112171.3838718
67d685ab8f4f34655f851df5,-0.06,-0.37,0.12,1742112171.901005
67d685ac8f4f34655f851df6,-0.06,-0.43,0.18,1742112172.4170234
67d685ac8f4f34655f851df7,-0.06,-0.43,0.12,1742112172.9200542
67d685ad8f4f34655f851df8,-0.06,-0.43,0.12,1742112173.4334896
67d685ae8f4f34655f851df9,0,-0.43,0.18,1742112174.457007
67d685ae8f4f34655f851dfa,0,-0.43,0.12,1742112174.7657347
67d685af8f4f34655f851dfb,-0.06,-0.43,0.18,1742112175.0712793
67d685af8f4f34655f851dfc,0,-0.37,0.12,1742112175.4801016
67d685af8f4f34655f851dfd,0,-0.43,0.12,1742112175.919424
67d685b08f4f34655f851dfe,-0.06,-0.43,0.12,1742112176.5045886
67d685b18f4f34655f851dff,-0.06,-0.37,0.18,1742112177.0167062
67d685b18f4f34655f851e00,-0.06,-0.43,0.18,1742112177.5283535
67d685b28f4f34655f851e01,0,-0.49,0.12,1742112178.0471122
67d685b28f4f34655f851e02,-0.06,-0.37,0.12,1742112178.4488618
67d685b28f4f34655f851e03,-0.06,-0.43,0.18,1742112178.9541333
67d685b38f4f34655f851e04,-0.06,-0.43,0.18,1742112179.4728646
67d685b38f4f34655f851e05,-0.06,-0.43,0.18,1742112179.9878793
67d685b48f4f34655f851e06,-0.06,-0.43,0.12,1742112180.4979181
67d685b58f4f34655f851e07,-0.06,-0.43,0.18,1742112181.0107443
67d685b58f4f34655f851e08,-0.06,-0.43,0.12,1742112181.5220058
67d685b68f4f34655f851e09,-0.06,-0.43,0.12,1742112182.0424786
67d685b68f4f34655f851e0a,0,-0.37,0.18,1742112182.5466967
67d685b78f4f34655f851e0b,-0.06,-0.43,0.18,1742112183.0591388
67d685b78f4f34655f851e0c,-0.06,-0.43,0.12,1742112183.5707493
67d685b88f4f34655f851e0d,0,-0.43,0.18,1742112184.0868773
67d685b88f4f34655f851e0e,0,-0.49,0.12,1742112184.5939794
67d685b98f4f34655f851e0f,0,-0.43,0.18,1742112185.1079032
67d685b98f4f34655f851e10,0,-0.37,0.18,1742112185.5168087
67d685ba8f4f34655f851e11,-0.06,-0.43,0.18,1742112186.0391755
67d685ba8f4f34655f851e12,0,-0.43,0.18,1742112186.5398896
67d685bb8f4f34655f851e13,0,-0.37,0.18,1742112187.052954
67d685bb8f4f34655f851e14,0,-0.43,0.12,1742112187.5635867
67d685bc8f4f34655f851e15,0,-0.43,0.18,1742112188.0417018
67d685bc8f4f34655f851e16,-0.06,-0.43,0.18,1742112188.5875497
67d685bd8f4f34655f851e17,0,-0.37,0.18,1742112189.0995727
67d685be8f4f34655f851e18,0,-0.43,0.18,1742112190.1246731
67d685be8f4f34655f851e19,0,-0.43,0.12,1742112190.4308012
67d685be8f4f34655f851e1a,-0.06,-0.43,0.18,1742112190.7075725
67d685bf8f4f34655f851e1b,-0.06,-0.43,0.12,1742112191.1481473
67d685bf8f4f34655f851e1c,-0.06,-0.43,0.12,1742112191.6592734
67d685c08f4f34655f851e1d,0,-0.37,0.12,1742112192.1722474
67d685c08f4f34655f851e1e,-0.06,-0.43,0.18,1742112192.6836417
67d685c18f4f34655f851e1f,-0.06,-0.43,0.18,1742112193.1958323
67d685c18f4f34655f851e20,0,-0.43,0.12,1742112193.6058307
67d685c28f4f34655f851e21,-0.06,-0.43,0.18,1742112194.1173193
67d685c28f4f34655f851e22,0,-0.43,0.18,1742112194.605787
67d685c38f4f34655f851e23,-0.06,-0.37,0.18,1742112195.1422215
67d685c38f4f34655f851e24,-0.06,-0.37,0.18,1742112195.6512759
67d685c48f4f34655f851e25,-0.06,-0.55,0.12,1742112196.1662824
67d685c48f4f34655f851e26,-0.06,-0.43,0.18,1742112196.6771777
67d685c58f4f34655f851e27,-0.06,-0.43,0.18,1742112197.2179456
67d685c58f4f34655f851e28,-0.06,-0.43,0.18,1742112197.7041261
67d685c68f4f34655f851e29,-0.06,-0.43,0.18,1742112198.1591742
67d685c68f4f34655f851e2a,-0.06,-0.43,0.18,1742112198.7242203
67d685c78f4f34655f851e2b,-0.06,-0.43,0.12,1742112199.342174
67d685c78f4f34655f851e2c,-0.06,-0.37,0.18,1742112199.749696
67d685c88f4f34655f851e2d,0,-0.37,0.18,1742112200.3658087
67d685c88f4f34655f851e2e,0,-0.43,0.18,1742112200.9785445
67d685c98f4f34655f851e2f,0,-0.43,0.18,1742112201.5924313
67d685ca8f4f34655f851e30,0,-0.43,0.18,1742112202.2073076
67d685ca8f4f34655f851e31,0,-0.43,0.18,1742112202.821224
67d685cb8f4f34655f851e32,-0.06,-0.43,0.18,1742112203.4361398
67d685cb8f4f34655f851e33,0,-0.37,0.18,1742112203.4410353
67d685cc8f4f34655f851e34,-0.06,-0.49,0.12,1742112204.0589337
67d685cc8f4f34655f851e35,0,-0.31,0.18,1742112204.4811249
67d685cc8f4f34655f851e36,0,-0.43,0.18,1742112204.7893126
67d685cd8f4f34655f851e37,0,-0.37,0.18,1742112205.4845505
67d685cd8f4f34655f851e38,-0.06,-0.43,0.18,1742112205.8938158
67d685ce8f4f34655f851e39,-0.06,-0.43,0.18,1742112206.508677
67d685cf8f4f34655f851e3a,0,-0.43,0.18,1742112207.1225505
67d685cf8f4f34655f851e3b,-0.06,-0.37,0.18,1742112207.6456745
67d685cf8f4f34655f851e3c,-0.06,-0.43,0.18,1742112207.8596241
67d685d08f4f34655f851e3d,0,-0.43,0.18,1742112208.2370245
67d685d08f4f34655f851e3e,-0.06,-0.43,0.18,1742112208.7595117
67d685d18f4f34655f851e3f,-0.06,-0.43,0.12,1742112209.2473242
67d685d18f4f34655f851e40,0,-0.43,0.18,1742112209.7516615
67d685d28f4f34655f851e41,0,-0.43,0.18,1742112210.256383
67d685d28f4f34655f851e42,-0.06,-0.37,0.18,1742112210.770185
67d685d38f4f34655f851e43,-0.06,-0.43,0.12,1742112211.3200054
67d685d38f4f34655f851e44,-0.06,-0.37,0.12,1742112211.7726495
67d685d48f4f34655f851e45,0,-0.37,0.18,1742112212.2774403
67d685d48f4f34655f851e46,0,-0.37,0.18,1742112212.7813365
67d685d58f4f34655f851e47,-0.06,-0.43,0.18,1742112213.289235
67d685d58f4f34655f851e48,-0.06,-0.37,0.12,1742112213.8847535
67d685d68f4f34655f851e49,0,-0.43,0.18,1742112214.3926275
67d685d68f4f34655f851e4a,0,-0.43,0.18,1742112214.8017082
67d685d78f4f34655f851e4b,0,-0.37,0.18,1742112215.3120973
67d685d78f4f34655f851e4c,-0.06,-0.43,0.12,1742112215.8312092
67d685d88f4f34655f851e4d,-0.06,-0.37,0.18,1742112216.3395212
67d685d88f4f34655f851e4e,0,-0.43,0.18,1742112216.8497925
67d685d98f4f34655f851e4f,0,-0.43,0.18,1742112217.3621442
67d685d98f4f34655f851e50,-0.06,-0.43,0.18,1742112217.8452332
67d685da8f4f34655f851e51,-0.06,-0.43,0.18,1742112218.4936495
67d685da8f4f34655f851e52,-0.06,-0.43,0.12,1742112218.917646
67d685db8f4f34655f851e53,-0.06,-0.43,0.18,1742112219.4098446
67d685db8f4f34655f851e54,-0.06,-0.43,0.18,1742112219.9241505
67d685dc8f4f34655f851e55,0,-0.37,0.18,1742112220.3556187
67d685dd8f4f34655f851e56,-0.06,-0.55,0.12,1742112221.0695162
67d685dd8f4f34655f851e57,-0.06,-0.43,0.12,1742112221.3759475
67d685dd8f4f34655f851e58,-0.06,-0.37,0.18,1742112221.9692762
67d685de8f4f34655f851e59,0,-0.37,0.12,1742112222.3788614
67d685de8f4f34655f851e5a,0,-0.37,0.18,1742112222.8828168
67d685df8f4f34655f851e5b,-0.06,-0.18,0.18,1742112223.4035082
67d685df8f4f34655f851e5c,0,-0.43,0.12,1742112223.891827
67d685e08f4f34655f851e5d,-0.06,-0.43,0.18,1742112224.396683
67d685e08f4f34655f851e5e,0,-0.43,0.18,1742112224.940686
67d685e18f4f34655f851e5f,-0.06,-0.43,0.18,1742112225.4514513
67d685e18f4f34655f851e60,0,-0.37,0.18,1742112225.9106958
67d685e28f4f34655f851e61,0,-0.43,0.12,1742112226.4755194
67d685e28f4f34655f851e62,-0.06,-0.43,0.12,1742112226.9871464
67d685e38f4f34655f851e63,-0.06,-0.43,0.18,1742112227.50041
67d685e48f4f34655f851e64,0,-0.43,0.18,1742112228.0119472
67d685e48f4f34655f851e65,0,-0.43,0.18,1742112228.5232785
67d685e58f4f34655f851e66,-0.06,-0.43,0.18,1742112229.0349033
67d685e58f4f34655f851e67,-0.06,-0.37,0.18,1742112229.4460082
67d685e58f4f34655f851e68,0,-0.37,0.12,1742112229.9650493
67d685e68f4f34655f851e69,0,-0.43,0.18,1742112230.4681606
67d685e68f4f34655f851e6a,0,-0.43,0.18,1742112230.9807029
67d685e78f4f34655f851e6b,-0.06,-0.37,0.12,1742112231.4936619
67d685e88f4f34655f851e6c,-0.06,-0.43,0.18,1742112232.0083318
67d685e88f4f34655f851e6d,-0.06,-0.43,0.12,1742112232.525898
67d685e98f4f34655f851e6e,0,-0.43,0.18,1742112233.0289636
67d685e98f4f34655f851e6f,-0.06,-0.37,0.12,1742112233.5410883
67d685ea8f4f34655f851e70,-0.06,-0.37,0.18,1742112234.0581684
67d685ea8f4f34655f851e71,-0.06,-0.43,0.18,1742112234.5694017
67d685eb8f4f34655f851e72,0,-0.37,0.18,1742112235.0772386
67d685eb8f4f34655f851e73,-0.06,-0.43,0.18,1742112235.5904737
67d685ec8f4f34655f851e74,-0.06,-0.43,0.12,1742112236.015074
67d685ed8f4f34655f851e75,0,-0.37,0.18,1742112237.0433083
67d685ed8f4f34655f851e76,-0.06,-0.43,0.18,1742112237.0458202
67d685ed8f4f34655f851e77,0,-0.43,0.12,1742112237.5576224
67d685ee8f4f34655f851e78,-0.06,-0.37,0.18,1742112238.0448227
67d685ee8f4f34655f851e79,0,-0.37,0.18,1742112238.5595112
67d685ef8f4f34655f851e7a,-0.06,-0.43,0.18,1742112239.0704489
