Timestamp,Value,Type
4:13:33 pm.614,"Distance: 211.02 cm\r\n",received
4:13:35 pm.650,"Distance: 210.27 cm\r\n",received
4:13:37 pm.739,"Distance: 211.11 cm\r\n",received
4:13:39 pm.724,"Distance: 211.16 cm\r\n",received
4:13:41 pm.773,"Distance: 211.57 cm\r\n",received
4:13:43 pm.818,"Distance: 211.12 cm\r\n",received
4:13:45 pm.853,"Distance: 210.63 cm\r\n",received
4:13:47 pm.925,"Distance: 211.16 cm\r\n",received
4:13:49 pm.957,"Distance: 211.19 cm\r\n",received
4:13:51 pm.994,"Distance: 211.07 cm\r\n",received
4:13:54 pm.20,"Distance: 210.63 cm\r\n",received
4:13:56 pm.74,"Distance: 211.16 cm\r\n",received
4:13:58 pm.178,"Distance: 211.07 cm\r\n",received
4:14:00 pm.123,"Distance: 9.23 cm\r\n",received
4:14:02 pm.156,"Distance: 8.86 cm\r\n",received
4:14:04 pm.205,"Distance: 5.73 cm\r\n",received
4:14:06 pm.319,"Distance: 212.01 cm\r\n",received
4:14:08 pm.249,"Distance: 13.48 cm\r\n",received
4:14:10 pm.296,"Distance: 211.89 cm\r\n",received
4:14:12 pm.337,"Distance: 211.62 cm\r\n",received
4:14:14 pm.369,"Distance: 11.73 cm\r\n",received
4:14:16 pm.441,"Distance: 211.85 cm\r\n",received
4:14:18 pm.480,"Distance: 211.12 cm\r\n",received
4:14:20 pm.487,"Distance: 210.71 cm\r\n",received
4:14:22 pm.518,"Distance: 211.55 cm\r\n",received
4:14:24 pm.564,"Distance: 210.56 cm\r\n",received
4:14:26 pm.598,"Distance: 210.61 cm\r\n",received
4:14:28 pm.644,"Distance: 210.68 cm\r\n",received
4:14:30 pm.721,"Distance: 13.33 cm\r\n",received
4:14:32 pm.693,"Distance: 11.59 cm\r\n",received
4:14:34 pm.792,"Distance: 10.81 cm\r\n",received
4:14:36 pm.791,"Distance: 16.41 cm\r\n",received
4:14:38 pm.831,"Distance: 211.04 cm\r\n",received
4:14:40 pm.848,"Distance: 211.40 cm\r\n",received
4:14:42 pm.917,"Distance: 211.12 cm\r\n",received
4:14:44 pm.922,"Distance: 211.90 cm\r\n",received
4:14:46 pm.964,"Distance: 211.48 cm\r\n",received
4:14:48 pm.999,"Distance: 211.07 cm\r\n",received
4:14:51 pm.54,"Distance: 210.61 cm\r\n",received
4:14:53 pm.97,"No echo received! Check sensor connection.\r\n",received
4:14:53 pm.97,"Sensor error! No valid reading.\r\n",received
4:14:55 pm.140,"Distance: 211.40 cm\r\n",received
4:14:57 pm.175,"Distance: 211.87 cm\r\n",received
4:14:59 pm.217,"Distance: 210.70 cm\r\n",received
4:15:01 pm.267,"Distance: 210.75 cm\r\n",received
4:15:03 pm.376,"Distance: 211.11 cm\r\n",received
4:15:05 pm.455,"Distance: 212.01 cm\r\n",received
4:15:07 pm.419,"Distance: 210.63 cm\r\n",received
4:15:09 pm.460,"Distance: 212.01 cm\r\n",received
4:15:11 pm.464,"Distance: 211.50 cm\r\n",received
4:15:13 pm.501,"Distance: 211.16 cm\r\n",received
4:15:15 pm.635,"Distance: 211.05 cm\r\n",received
4:15:17 pm.601,"Distance: 213.28 cm\r\n",received
4:15:19 pm.626,"Distance: 211.05 cm\r\n",received
4:15:21 pm.754,"Distance: 212.02 cm\r\n",received
4:15:23 pm.711,"Distance: 210.65 cm\r\n",received
4:15:25 pm.781,"Distance: 211.62 cm\r\n",received
4:15:27 pm.794,"Distance: 211.53 cm\r\n",received
4:15:29 pm.919,"Distance: 211.92 cm\r\n",received
4:15:31 pm.875,"Distance: 211.02 cm\r\n",received
4:15:33 pm.913,"Distance: 211.58 cm\r\n",received
4:15:36 pm.87,"Distance: 211.17 cm\r\n",received
